emp_no,salary
10244,56292
10245,4
10246,4
10247,4
10248,58918
10249,72192
10250,5033
10251,61743
10252,4
10253,62494
10254,60222
10255,63822
10256,71305
10257,4
10258,6628
10259,88991
10260,60879
10261,4
10262,63005
10263,67883
10264,60522
10265,46382
10266,47093
10267,4
10268,41017
10269,4
10270,42081
10271,5368
10272,5807
10273,75148
10274,86164
10275,4
10276,4
10277,59534
10278,51703
10279,4
10280,66695
10281,46123
10282,4
10283,4
10284,4
10285,62075
10286,4
10287,55732
10288,80474
10289,4
10290,44274
10291,5743
10292,7837
10293,442
10294,66448
10295,46398
10296,77788
10297,63061
10298,4
10299,76484
10300,72504
10301,4
10302,58239
10303,4
10304,10691
10305,5255
10306,44229
10307,4
10308,59715
10309,53031
10310,42894
10311,4
10312,56705
10313,60589
10314,51939
10315,60494
10316,4
10317,51129
10318,73259
10319,84162
10320,58483
10321,86819
10322,41968
10323,4
10324,67499
10325,44325
10326,4
10327,54734
10328,46286
10329,51664
10330,86545
10331,558
10332,52133
10333,45141
10334,4
10335,52633
10336,63248
10337,56061
10338,4
10339,4
10340,68132
10341,4
10342,4
10343,4
10344,53087
10345,6693
10346,78088
10347,42199
10348,4
10349,47518
10350,41213
10351,4
10352,4
10353,62656
10354,60762
10355,70434
10356,45376
10357,4
10358,63243
10359,4
10360,4
10361,64213
10362,4
10363,40401
10364,51401
10365,45523
10366,47229
10367,63565
10368,42463
10369,47236
10370,4001
10371,61475
10372,54505
10373,53305
10374,69568
10375,93329
10376,42634
10377,4
10378,75311
10379,4
10380,76387
10381,7851
10382,45785
10383,47452
10384,4327
10385,4
10386,53367
10387,61374
10388,62545
10389,55548
10390,4
10391,56655
10392,50962
10393,4
10394,4
10395,42774
10396,40393
10397,40529
10398,54156
10399,9701
10400,63746
10401,4
10402,4
10403,83609
10404,51647
10405,4
10406,4
10407,62565
10408,76369
10409,64363
10410,46546
10411,66415
10412,65405
10413,45416
10414,43255
10415,50219
10416,68993
10417,78571
10418,52224
10419,40569
10420,69604
10421,4
10422,45725
10423,51183
10424,50054
10425,4
10426,65757
10427,7932
10428,4
10429,4
10430,4
10431,67068
10432,4
10433,4
10434,4
10435,45352
10436,4
10437,59749
10438,4
10439,62401
10440,54615
10441,4
10442,46005
10443,55299
10444,86407
10445,59438
10446,4817
10447,4
10448,48558
10449,55316
10450,4
10451,46275
10452,4
10453,4
10454,8428
10455,98251
10456,57599
10457,60672
10458,76973
10459,4
10460,4
10461,82217
10462,4
10463,6648
10464,4
10465,59124
10466,55318
10467,79905
10468,4
10469,42697
10470,49593
10471,58951
10472,48561
10473,41613
10474,43948
10475,51203
10476,58221
10477,55138
10478,4
10479,4
10480,55669
10481,4
10482,7933
10483,47423
10484,4
10485,47265
10486,71692
10487,45083
10488,4
10489,56739
10490,62973
10491,6674
10492,60838
10493,43998
10494,50094
10495,75661
10496,41835
10497,63707
10498,4
10499,4
10500,42688
10501,53922
10502,4
10503,4
10504,43931
10505,63696
10506,4
10507,4
10508,46204
10509,49292
10510,69341
10511,4
10512,4
10513,86392
10514,48428
10515,91484
10516,7492
10517,6533
10518,51168
10519,4
10520,4
10521,91262
10522,4
10523,4
10524,4995
10525,87439
10526,4
10527,43405
10528,63813
10529,4784
10530,68487
10531,49168
10532,87468
10533,57135
10534,4
10535,47272
10536,57487
10537,75976
10538,72002
10539,10209
10540,66067
10541,50741
10542,4
10543,86526
10544,45092
10545,57752
10546,46871
10547,4
10548,90631
10549,63795
10550,4
10551,53473
10552,80483
10553,73618
10554,54763
10555,73486
10556,68797
10557,43289
10558,70012
10559,9012
10560,4
10561,57319
10562,59596
10563,4128
10564,4666
10565,4
10566,4
10567,43717
10568,64356
10569,54732
10570,80145
10571,43658
10572,4
10573,87241
10574,4
10575,40523
10576,63861
10577,48286
10578,47301
10579,61438
10580,4
10581,46569
10582,40973
10583,79782
10584,66898
10585,58389
10586,47541
10587,81562
10588,41478
10589,57215
10590,5193
10591,55131
10592,55997
10593,71435
10594,4
10595,4
10596,58689
10597,64739
10598,43329
10599,51952
10600,53535
10601,4
10602,55058
10603,10127
10604,50849
10605,43162
10606,4
10607,55024
10608,4
10609,80458
10610,49812
10611,4
10612,4
10613,4
10614,4
10615,43533
10616,8701
10617,4
10618,41127
10619,81662
10620,48584
10621,68991
10622,4
10623,60268
10624,4
10625,59732
10626,4
10627,4
10628,4165
10629,87045
10630,4
10631,4
10632,81733
10633,819
10634,45179
10635,4
10636,40904
10637,10358
10638,41573
10639,46291
10640,65156
10641,41785
10642,4
10643,466
10644,75403
10645,4
10646,51562
10647,48302
10648,4
10649,4
10650,43591
10651,42023
10652,5316
10653,4
10654,49062
10655,82968
10656,40658
10657,52462
10658,60978
10659,4
10660,41814
10661,48179
10662,71708
10663,47521
10664,48215
10665,4
10666,78258
10667,4
10668,65326
10669,4
10670,74595
10671,74037
10672,64663
10673,4
10674,4
10675,62205
10676,58226
10677,56994
10678,60389
10679,4
10680,4
10681,84136
10682,4
10683,4
10684,45861
10685,60601
10686,50869
10687,4
10688,8841
10689,4
10690,72028
10691,46745
10692,8138
10693,4
10694,5302
10695,8572
10696,68913
10697,4
10698,4
10699,4
10700,414
10701,74949
10702,46581
10703,56724
10704,4
10705,83673
10706,56139
10707,49504
10708,43514
10709,4
10710,78877
10711,41824
10712,4
10713,70575
10714,48821
10715,42323
10716,44101
10717,57525
10718,75473
10719,4
10720,45832
10721,4
10722,70199
10723,4
10724,42347
10725,79207
10726,46315
10727,58253
10728,4
10729,4
10730,62107
10731,77892
10732,4
10733,48013
10734,47377
10735,4
10736,4
10737,73505
10738,5351
10739,4
10740,62138
10741,50265
10742,67405
10743,77435
10744,89495
10745,4
10746,4
10747,51538
10748,54532
10749,60829
10750,4
10751,50052
10752,4
10753,59507
10754,61081
10755,4
10756,4
10757,49134
10758,54186
10759,4
10760,4
10761,49974
10762,52172
10763,7016
10764,7072
10765,54339
10766,4
10767,40651
10768,65717
10769,70229
10770,63401
10771,42658
10772,4
10773,4
10774,47119
10775,43898
10776,58145
10777,4
10778,64996
10779,47332
10780,43654
10781,4
10782,4
10783,4
10784,43003
10785,46165
10786,4
10787,51707
10788,54887
10789,4
10790,62801
10791,4
10792,63324
10793,4
10794,43485
10795,84206
10796,41785
10797,41005
10798,4821
10799,50539
10800,4
10801,67302
10802,4
10803,5426
10804,4
10805,48778
10806,63146
10807,60203
10808,4
10809,40485
10810,56062
10811,4
10812,49418
10813,53246
10814,59378
10815,4
10816,5024
10817,54602
10818,4
10819,54631
10820,62182
10821,4
10822,4011
10823,4
10824,48813
10825,62199
10826,59506
10827,58322
10828,56559
10829,4
10830,4742
10831,8233
10832,69585
10833,4
10834,53869
10835,4
10836,65502
10837,80879
10838,54762
10839,47625
10840,4
10841,4
10842,5076
10843,4
10844,4
10845,71307
10846,4
10847,4
10848,50475
10849,66065
10850,64525
10851,46644
10852,68153
10853,53029
10854,4
10855,4
10856,42965
10857,61549
10858,47847
10859,656
10860,4
10861,4
10862,81455
10863,47486
10864,63243
10865,76287
10866,52131
10867,4
10868,54496
10869,4
10870,57493
10871,4
10872,4
10873,65835
10874,56071
10875,4
10876,61389
10877,52537
10878,72102
10879,65651
10880,42551
10881,4
10882,4
10883,4
10884,4175
10885,78613
10886,4
10887,6957
10888,44183
10889,61892
10890,67703
10891,4
10892,4
10893,79803
10894,56923
10895,67103
10896,4
10897,92925
10898,5759
10899,51956
10900,50054
10901,466
10902,44359
10903,48377
10904,54328
10905,4
10906,66204
10907,4
10908,4
10909,80935
10910,4
10911,78637
10912,45665
10913,62428
10914,55565
10915,70564
10916,47842
10917,75182
10918,59521
10919,88498
10920,4
10921,72601
10922,51997
10923,51933
10924,84783
10925,4
10926,43219
10927,51819
10928,4
10929,4
10930,53785
10931,63662
10932,4
10933,4
10934,48342
10935,52007
10936,4
10937,4
10938,68677
10939,44203
10940,74987
10941,41721
10942,4
10943,4589
10944,42872
10945,48633
10946,59531
10947,43068
10948,47252
10949,58253
10950,4
10951,4
10952,4
10953,6097
10954,4
10955,97936
10956,4
10957,50675
10958,56563
10959,76685
10960,60491
10961,72047
10962,77274
10963,43878
10964,70157
10965,61654
10966,70464
10967,4
10968,71593
10969,4
10970,4
10971,52453
10972,4
10973,54616
10974,56005
10975,4
10976,4
10977,4
10978,48115
10979,55955
10980,57614
10981,80674
10982,46503
10983,44062
10984,46645
10985,4
10986,439
10987,46108
10988,54174
10989,46406
10990,4
10991,55946
10992,74318
10993,4
10994,41471
10995,4
10996,43564
10997,4
10998,62861
10999,55946
11000,54654
11001,47199
11002,49909
11003,4
11004,40226
11005,41901
11006,63287
11007,4
11008,65018
11009,75111
11010,7716
11011,58931
11012,72092
11013,72427
11014,56447
11015,57076
11016,56498
11017,4
11018,75379
11019,69387
11020,46493
11021,6267
11022,85058
11023,46292
11024,85419
11025,4
11026,5459
11027,4
11028,41111
11029,9011
11030,49948
11031,71654
11032,4
11033,57239
11034,4
11035,62108
11036,49051
11037,4
11038,44993
11039,4
11040,53648
11041,55068
11042,4
11043,4
11044,43441
11045,4
11046,68001
11047,4
11048,65697
11049,647
11050,52251
11051,4
11052,4
11053,50489
11054,4
11055,70811
11056,79354
11057,6665
11058,4
11059,58271
11060,57435
11061,81257
11062,42053
11063,4
11064,48411
11065,4
11066,53496
11067,4
11068,4
11069,6576
11070,4
11071,4
11072,4
11073,80125
11074,44035
11075,76877
11076,4748
11077,42983
11078,52797
11079,46239
11080,48328
11081,65686
11082,41586
11083,90972
11084,52121
11085,66437
11086,53234
11087,78081
11088,4
11089,41004
11090,42025
11091,76253
11092,78588
11093,4
11094,4
11095,4
11096,62132
11097,60027
11098,4
11099,81756
11100,4
11101,4
11102,68721
11103,60761
11104,4
11105,59803
11106,71446
11107,71066
11108,4
11109,4
11110,43063
11111,49777
11112,4
11113,66401
11114,4237
11115,45364
11116,4
11117,65945
11118,4431
11119,4
11120,79352
11121,4
11122,54157
11123,77539
11124,66045
11125,4536
11126,4
11127,4
11128,49544
11129,44204
11130,43172
11131,60792
11132,4
11133,4
11134,58731
11135,4
11136,5477
11137,4
11138,43154
11139,63596
11140,4
11141,4
11142,4
11143,63264
11144,56144
11145,5048
11146,96019
11147,4
11148,56344
11149,9968
11150,79045
11151,4
11152,62169
11153,4
11154,4
11155,85737
11156,42448
11157,50629
11158,4
11159,55943
11160,4
11161,427
11162,69873
11163,64988
11164,6263
11165,4103
11166,50996
11167,41462
11168,72944
11169,4768
11170,44531
11171,4
11172,73262
11173,46609
11174,45806
11175,4
11176,5867
11177,4
11178,55571
11179,40069
11180,4
11181,4
11182,63677
11183,4
11184,4
11185,4
11186,4
11187,4953
11188,69516
11189,71798
11190,5922
11191,41001
11192,4
11193,45258
11194,68149
11195,52089
11196,44671
11197,88741
11198,51071
11199,4
11200,65008
11201,49454
11202,4
11203,68049
11204,4
11205,82102
11206,68802
11207,49728
11208,8366
11209,4
11210,4
11211,72668
11212,66041
11213,4
11214,78975
11215,70468
11216,63757
11217,4
11218,4
11219,4
11220,4
11221,47184
11222,73559
11223,56878
11224,4
11225,4
11226,67366
11227,4
11228,45862
11229,48214
11230,54402
11231,4
11232,43863
11233,4607
11234,60412
11235,4
11236,56204
11237,10255
11238,4
11239,83636
11240,61739
11241,55964
11242,51852
11243,47598
11244,4
11245,77791
11246,4
11247,4
11248,67711
11249,43324
11250,63572
11251,69432
11252,4
11253,4
11254,50562
11255,4
11256,67685
11257,62901
11258,4
11259,91628
11260,4
11261,58175
11262,57033
11263,48695
11264,65827
11265,4
11266,4
11267,6599
11268,4
11269,71092
11270,4
11271,59015
11272,89679
11273,4
11274,4
11275,58382
11276,4
11277,52519
11278,4
11279,4
11280,67177
11281,4
11282,76282
11283,56439
11284,4
11285,50426
11286,75397
11287,64454
11288,60782
11289,4
11290,65034
11291,54307
11292,4
11293,63418
11294,43768
11295,66622
11296,4
11297,4
11298,77952
11299,4
11300,4438
11301,4
11302,52934
11303,49413
11304,62295
11305,43393
11306,79215
11307,64887
11308,44014
11309,4
11310,79768
11311,56393
11312,4913
11313,55301
11314,4
11315,84316
11316,4
11317,4
11318,69853
11319,4
11320,45118
11321,40783
11322,43021
11323,4
11324,54288
11325,62458
11326,4
11327,4
11328,61119
11329,58591
11330,68922
11331,4
11332,4
11333,4
11334,73839
11335,4
11336,71404
11337,42659
11338,8221
11339,4
11340,48813
11341,47896
11342,4
11343,43306
11344,4449
11345,61656
11346,66099
11347,41524
11348,4
11349,46356
11350,4809
11351,65863
11352,4
11353,62812
11354,4
11355,83126
11356,53112
11357,51285
11358,57117
11359,85969
11360,63466
11361,40978
11362,65693
11363,70183
11364,4
11365,56463
11366,4
11367,7873
11368,4
11369,49907
11370,4
11371,46423
11372,52023
11373,45912
11374,51611
11375,8388
11376,46964
11377,60961
11378,4
11379,4
11380,53345
11381,71747
11382,44122
11383,4
11384,4
11385,4
11386,47726
11387,41824
11388,43632
11389,86011
11390,4
11391,54638
11392,62114
11393,4
11394,4
11395,51673
11396,48918
11397,4
11398,44625
11399,40324
11400,4
11401,52021
11402,89345
11403,87912
11404,42907
11405,47098
11406,71834
11407,50395
11408,656
11409,4
11410,45665
11411,45516
11412,73045
11413,4022
11414,76725
11415,4
11416,58151
11417,74114
11418,4
11419,47542
11420,4
11421,52416
11422,44085
11423,43947
11424,4
11425,4
11426,78109
11427,65177
11428,4
11429,7862
11430,71181
11431,44804
11432,40208
11433,4
11434,54798
11435,65726
11436,67921
11437,4
11438,5395
11439,6947
11440,4
11441,67352
11442,4
11443,82308
11444,4
11445,4
11446,4
11447,74396
11448,4
11449,61434
11450,42732
11451,61848
11452,52083
11453,50997
11454,58237
11455,4659
11456,46367
11457,4
11458,43739
11459,4
11460,45712
11461,49398
11462,74001
11463,4
11464,4
11465,4
11466,40472
11467,60924
11468,85983
11469,44625
11470,54614
11471,4
11472,71642
11473,4
11474,59016
11475,49565
11476,56449
11477,4
11478,93693
11479,78157
11480,85687
11481,42627
11482,93516
11483,66924
11484,78045
11485,45743
11486,10712
11487,63779
11488,55704
11489,50394
11490,4
11491,4
11492,52639
11493,84934
11494,46637
11495,4022
11496,4
11497,47324
11498,4
11499,4
11500,53141
11501,48608
11502,4
11503,56928
11504,6851
11505,49847
11506,89747
11507,46183
11508,61373
11509,4
11510,4
11511,63552
11512,45659
11513,82525
11514,4
11515,70182
11516,42666
11517,54453
11518,4
11519,61444
11520,73886
11521,67809
11522,49279
11523,64203
11524,41081
11525,61691
11526,67591
11527,60212
11528,44026
11529,45513
11530,56081
11531,5337
11532,4
11533,4
11534,4
11535,64204
11536,51854
11537,96023
11538,4
11539,51616
11540,70043
11541,4
11542,4
11543,4
11544,41062
11545,4
11546,78216
11547,88701
11548,4
11549,47524
11550,4
11551,63612
11552,73942
11553,50541
11554,46065
11555,4
11556,94203
11557,57561
11558,4
11559,79916
11560,55608
11561,41388
11562,82255
11563,44919
11564,71216
11565,4
11566,50466
11567,86261
11568,54673
11569,56536
11570,49184
11571,4
11572,4
11573,46194
11574,4
11575,50896
11576,75077
11577,4
11578,4
11579,51201
11580,4
11581,4695
11582,46584
11583,56846
11584,54421
11585,44852
11586,85929
11587,4
11588,4
11589,58444
11590,4
11591,4
11592,55959
11593,4
11594,47334
11595,68224
11596,54076
11597,43205
11598,48112
11599,72403
11600,51994
11601,4
11602,58575
11603,6918
11604,67601
11605,4
11606,4
11607,49584
11608,75458
11609,71954
11610,43598
11611,7099
11612,4
11613,4
11614,68728
11615,46591
11616,419
11617,48838
11618,73416
11619,75765
11620,4
11621,60596
11622,54953
11623,67994
11624,42001
11625,60333
11626,4
11627,47168
11628,43966
11629,4
11630,48782
11631,4
11632,73029
11633,4
11634,42068
11635,4
11636,479
11637,47301
11638,59646
11639,44728
11640,5252
11641,53327
11642,4
11643,5197
11644,80722
11645,61796
11646,55411
11647,4
11648,4
11649,4
11650,4
11651,57164
11652,58583
11653,42624
11654,4
11655,4
11656,61926
11657,4
11658,50087
11659,77527
11660,65758
11661,477
11662,667
11663,69423
11664,7038
11665,4
11666,69278
11667,79814
11668,81323
11669,41183
11670,60931
11671,55227
11672,81212
11673,4
11674,41454
11675,59823
11676,4331
11677,86658
11678,54238
11679,4719
11680,83768
11681,4
11682,48241
11683,4
11684,68753
11685,4
11686,4
11687,4
11688,62954
11689,8898
11690,4442
11691,4624
11692,61845
11693,70403
11694,4
11695,46989
11696,51633
11697,44268
11698,92931
11699,4
11700,51475
11701,61097
11702,94495
11703,4
11704,48727
11705,79701
11706,61482
11707,55379
11708,68112
11709,43381
11710,41951
11711,5317
11712,4
11713,53387
11714,4
11715,48995
11716,4
11717,58955
11718,60112
11719,76415
11720,41731
11721,4
11722,4
11723,91895
11724,4
11725,41545
11726,46017
11727,54335
11728,41427
11729,75926
11730,97213
11731,4
11732,4
11733,46092
11734,49728
11735,4
11736,44127
11737,48832
11738,58432
11739,43666
11740,79335
11741,59925
11742,56759
11743,57591
11744,4
11745,48355
11746,55951
11747,90239
11748,54491
11749,4
11750,4
11751,4
11752,60876
11753,80308
11754,43638
11755,56874
11756,59493
11757,4
11758,43432
11759,4
11760,4
11761,52986
11762,5205
11763,4
11764,64875
11765,4
11766,4
11767,55832
11768,40509
11769,4
11770,4
11771,4
11772,61295
11773,4
11774,4
11775,4
11776,77997
11777,4
11778,4
11779,4
11780,49009
11781,67981
11782,4
11783,4
11784,58447
11785,11123
11786,4
11787,4
11788,59292
11789,41863
11790,41777
11791,4
11792,4
11793,4
11794,4
11795,4
11796,63002
11797,8805
11798,81093
11799,58726
11800,4
11801,67265
11802,6028
11803,4
11804,46168
11805,4
11806,45424
11807,4
11808,51897
11809,55101
11810,41256
11811,52695
11812,47297
11813,94687
11814,4
11815,52239
11816,53163
11817,50638
11818,44252
11819,59829
11820,46244
11821,50404
11822,67396
11823,72637
11824,41033
11825,53906
11826,49062
11827,43015
11828,59619
11829,4
11830,67232
11831,51751
11832,4
11833,66574
11834,84003
11835,4
11836,4
11837,55519
11838,68674
11839,73024
11840,52977
11841,90296
11842,4
11843,48703
11844,78049
11845,4
11846,53448
11847,64449
11848,58804
11849,6373
11850,62811
11851,41508
11852,66717
11853,61941
11854,4
11855,64165
11856,4
11857,94805
11858,40335
11859,7963
11860,52102
11861,66619
11862,46011
11863,5422
11864,52517
11865,4
11866,40481
11867,53552
11868,48349
11869,62968
11870,9289
11871,67424
11872,43159
11873,52243
11874,72605
11875,62315
11876,45372
11877,50777
11878,59403
11879,4
11880,8579
11881,76541
11882,49334
11883,58135
11884,7986
11885,43445
11886,4
11887,4
11888,5372
11889,41636
11890,65525
11891,4
11892,50901
11893,50514
11894,56198
11895,6695
11896,4
11897,80049
11898,43347
11899,40864
11900,73147
11901,78197
11902,4
11903,48959
11904,71752
11905,40251
11906,81324
11907,4
11908,7958
11909,48724
11910,58018
11911,4
11912,49842
11913,4
11914,4
11915,58042
11916,66691
11917,4
11918,4
11919,4
11920,69818
11921,45865
11922,4
11923,4
11924,62705
11925,55133
11926,41612
11927,76086
11928,4
11929,4
11930,50704
11931,73369
11932,44255
11933,5613
11934,42846
11935,72224
11936,81194
11937,7559
11938,4
11939,64815
11940,60193
11941,52224
11942,77391
11943,68057
11944,52061
11945,53056
11946,66544
11947,54249
11948,49929
11949,4
11950,4136
11951,4
11952,53243
11953,5139
11954,81841
11955,4
11956,68564
11957,58955
11958,57996
11959,47935
11960,4
11961,83539
11962,4
11963,4
11964,71667
11965,57709
11966,61626
11967,4
11968,65439
11969,91787
11970,4
11971,4
11972,52908
11973,4
11974,61173
11975,4
11976,70345
11977,4
11978,56414
11979,50796
11980,58241
11981,42925
11982,4
11983,4
11984,59501
11985,4
11986,48563
11987,4
11988,57652
11989,4
11990,63106
11991,61223
11992,4
11993,56505
11994,49761
11995,55714
11996,5287
11997,4
11998,58617
11999,4
12000,50678
12001,71467
12002,42654
12003,5954
12004,58136
12005,46505
12006,44032
12007,4
12008,68535
12009,55614
12010,4
12011,85833
12012,72898
12013,70615
12014,55769
12015,42853
12016,42839
12017,5076
12018,46011
12019,4
12020,73508
12021,4
12022,6314
12023,4
12024,6558
12025,62126
12026,76571
12027,45038
12028,51314
12029,41474
12030,4
12031,51383
12032,4
12033,49992
12034,40148
12035,4
12036,67143
12037,47805
12038,4
12039,44145
12040,64813
12041,65814
12042,52176
12043,49009
12044,4
12045,4
12046,70172
12047,52051
12048,56508
12049,46155
12050,46704
12051,4975
12052,4
12053,48319
12054,674
12055,60201
12056,4
12057,75815
12058,61378
12059,45275
12060,4
12061,62796
12062,44199
12063,56022
12064,4
12065,51884
12066,69228
12067,7216
12068,51401
12069,51928
12070,50233
12071,4
12072,4
12073,4
12074,4
12075,4
12076,75381
12077,50388
12078,44947
12079,43632
12080,47946
12081,54699
12082,72118
12083,56808
12084,4
12085,41358
12086,66388
12087,45432
12088,69081
12089,46288
12090,46269
12091,4
12092,4
12093,4
12094,44788
12095,57978
12096,63911
12097,90243
12098,62575
12099,10461
12100,70999
12101,4
12102,90853
12103,56188
12104,43465
12105,4
12106,4
12107,54485
12108,56691
12109,43689
12110,45382
12111,47294
12112,76538
12113,73294
12114,4
12115,52562
12116,40813
12117,4
12118,4
12119,69109
12120,71783
12121,53929
12122,46398
12123,64879
12124,50872
12125,41215
12126,56921
12127,6674
12128,81527
12129,67618
12130,59494
12131,4
12132,4
12133,4
12134,53503
12135,4
12136,4
12137,46294
12138,4
12139,4
12140,4
12141,53897
12142,48378
12143,57666
12144,4
12145,4
12146,53521
12147,4
12148,4204
12149,10993
12150,48057
12151,82191
12152,82078
12153,62254
12154,49909
12155,55355
12156,55022
12157,4
12158,53389
12159,6121
12160,60391
12161,4
12162,4
12163,5411
12164,43366
12165,41951
12166,4
12167,57757
12168,4
12169,4
12170,4
12171,76375
12172,4
12173,58321
12174,4
12175,42918
12176,4
12177,5057
12178,73367
12179,57733
12180,4
12181,80475
12182,81444
12183,4
12184,77277
12185,6542
12186,70221
12187,4
12188,47964
12189,70923
12190,4
12191,45307
12192,41625
12193,4
12194,4934
12195,59882
12196,41979
12197,54456
12198,40313
12199,99287
12200,59884
12201,4
12202,4
12203,56668
12204,4
12205,4
12206,4
12207,4
12208,63683
12209,5042
12210,4
12211,4
12212,4
12213,79834
12214,54681
12215,69252
12216,4
12217,4
12218,4
12219,57507
12220,53075
12221,56736
12222,5584
12223,54459
12224,59714
12225,6109
12226,4
12227,4
12228,4
12229,54321
12230,53692
12231,4
12232,82709
12233,54678
12234,54921
12235,10076
12236,55907
12237,59019
12238,4
12239,4
12240,4
12241,5993
12242,46911
12243,40785
12244,4
12245,5764
12246,4
12247,59183
12248,45054
12249,70099
12250,61573
12251,83518
12252,4
12253,54124
12254,44848
12255,57304
12256,4
12257,56495
12258,40748
12259,77426
12260,83671
12261,84058
12262,49633
12263,53078
12264,51816
12265,4
12266,45079
12267,7551
12268,48612
12269,4
12270,5284
12271,4
12272,43811
12273,90736
12274,4
12275,43671
12276,59844
12277,4396
12278,4
12279,4
12280,58288
12281,45417
12282,4
12283,57626
12284,5592
12285,658
12286,4
12287,4
12288,43296
12289,41606
12290,60429
12291,67506
12292,57645
12293,67543
12294,77586
12295,78131
12296,63405
12297,68376
12298,62015
12299,4
12300,4
12301,40835
12302,4
12303,4
12304,4
12305,4
12306,86718
12307,4
12308,58741
12309,4
12310,62984
12311,4
12312,52344
12313,45777
12314,4
12315,56609
12316,46261
12317,4
12318,73225
12319,4
12320,69973
12321,10507
12322,56115
12323,4
12324,59755
12325,742
12326,57236
12327,67449
12328,51299
12329,4
12330,46984
12331,75852
12332,4
12333,4
12334,4
12335,4
12336,4
12337,561
12338,4627
12339,4
12340,4344
12341,4
12342,59976
12343,52134
12344,78222
12345,42222
12346,4
12347,60248
12348,70107
12349,7676
12350,59528
12351,67969
12352,47968
12353,4
12354,55329
12355,70724
12356,58494
12357,41576
12358,68256
12359,84492
12360,4
12361,40883
12362,50058
12363,57141
12364,42337
12365,4
12366,4
12367,4
12368,45415
12369,51648
12370,4
12371,44303
12372,41042
12373,75986
12374,8076
12375,42961
12376,57632
12377,42664
12378,4104
12379,43508
12380,4
12381,42211
12382,66365
12383,4
12384,4
12385,50107
12386,4
12387,4
12388,4
12389,4
12390,75856
12391,49039
12392,4
12393,69056
12394,4
12395,66909
12396,75774
12397,4
12398,66676
12399,85582
12400,94617
12401,51193
12402,63446
12403,67679
12404,4
12405,4
12406,42913
12407,4
12408,4
12409,4
12410,4
12411,9761
12412,52914
12413,53179
12414,69837
12415,53615
12416,52598
12417,67342
12418,61035
12419,4786
12420,77427
12421,52691
12422,71376
12423,40099
12424,64463
12425,85593
12426,4
12427,4
12428,4
12429,4
12430,7243
12431,48081
12432,47127
12433,4
12434,4
12435,86207
12436,51913
12437,4
12438,10944
12439,4878
12440,4
12441,4
12442,5175
12443,4
12444,4
12445,68511
12446,49739
12447,4
12448,63278
12449,4
12450,4
12451,4
12452,4
12453,74339
12454,41347
12455,4
12456,57204
12457,61904
12458,4
12459,4
12460,79268
12461,73223
